Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
OMAH: 288 rows OK
OMFL: 500 rows OK
OMFS: 500 rows OK
OND: 500 rows OK
ONDG: 72 rows OK
ONDL: 81 rows OK
ONDU: 72 rows OK
ONEH: 60 rows OK
ONEO: 500 rows OK
ONEQ: 500 rows OK
ONEV: 500 rows OK
ONEY: 500 rows OK
ONEZ: 310 rows OK
Batch 44: inserted 6808 rows
ONLN: 500 rows OK
ONOF: 500 rows OK
OOSP: 500 rows OK
OPEG: 93 rows OK
OPER: 500 rows OK
OPEX: 127 rows OK
OPPE: 500 rows OK
OPPJ: 500 rows OK
OPTZ: 500 rows OK
ORBX: 9 rows OK
ORCS: 108 rows OK
ORCU: 108 rows OK
ORCX: 305 rows OK
ORLG: 69 rows OK
ORO: 131 rows OK
ORR: 321 rows OK
OSCG: 118 rows OK
OSCV: 500 rows OK
OSCX: 147 rows OK
OSEA: 500 rows OK
Batch 45: inserted 6036 rows
OTGL: 198 rows OK
OUNZ: 500 rows OK
OUSA: 500 rows OK
OUSM: 500 rows OK
OVB: 500 rows OK
OVF: 500 rows OK
OVL: 500 rows OK
OVLH: 500 rows OK
OVM: 500 rows OK
OVS: 500 rows OK
OVT: 500 rows OK
OWNB: 284 rows OK
OWNS: 500 rows OK
OZEM: 484 rows OK
PAAA: 500 rows OK
PAAU: 32 rows OK
PAB: 500 rows OK
PABD: 500 rows OK
PABU: 500 rows OK
PALC: 500 rows OK
Batch 46: inserted 8998 rows
PALD: 272 rows OK
PALL: 500 rows OK
PALU: 272 rows OK
PAMC: 500 rows OK
PANG: 276 rows OK
PAPI: 500 rows OK
PAPR: 500 rows OK
PATN: 403 rows OK
PATX: 72 rows OK
PAUG: 500 rows OK
PAVE: 500 rows OK
PAWZ: 500 rows OK
PAYH: 81 rows OK
PAYM: 81 rows OK
PAYR: 138 rows OK
PBAP: 500 rows OK
PBAU: 491 rows OK
PBD: 500 rows OK
PBDC: 500 rows OK
PBDE: 481 rows OK
Batch 47: inserted 7567 rows
PBE: 500 rows OK
PBEU: 101 rows OK
PBFB: 500 rows OK
PBFR: 467 rows OK
PBJ: 500 rows OK
PBJA: 500 rows OK
PBJL: 493 rows OK
PBJN: 476 rows OK
PBL: 500 rows OK
PBMR: 500 rows OK
PBMY: 498 rows OK
PBNV: 253 rows OK
PBOC: 486 rows OK
PBOG: 101 rows OK
PBP: 500 rows OK
PBPH: 101 rows OK
PBQQ: 325 rows OK
PBRG: 88 rows OK
PBSE: 471 rows OK
PBTP: 500 rows OK
Batch 48: inserted 7860 rows
PBUS: 500 rows OK
PBW: 500 rows OK
PCCE: 500 rows OK
PCEF: 500 rows OK
PCFI: 271 rows OK
PCGG: 500 rows OK
PCHI: 274 rows OK
PCI: 184 rows OK
PCIG: 500 rows OK
PCL: 183 rows OK
PCLG: 144 rows OK
PCLO: 349 rows OK
PCMM: 349 rows OK
PCPI: 16 rows OK
PCRB: 500 rows OK
PCS: 185 rows OK
PCY: 500 rows OK
PDBA: 500 rows OK
PDBC: 500 rows OK
PDDL: 198 rows OK
Batch 49: inserted 7153 rows
