
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [30/50] MMSD... 242 rows ✓
  [30/50] MMTM... 502 rows ✓
  [30/50] MNA... 502 rows ✓
  [30/50] MNBD... 502 rows ✓
  [30/50] MNRS... 308 rows ✓
  [30/50] MNVT... 25 rows ✓
  [30/50] MNZL... 105 rows ✓
  [30/50] MOAT... 502 rows ✓
  [30/50] MODL... 502 rows ✓
  [30/50] MOO... 502 rows ✓
  [30/50] MOOD... 502 rows ✓
  [30/50] MORT... 502 rows ✓
  [30/50] MOTG... 502 rows ✓
  [30/50] MOTI... 502 rows ✓
  [30/50] MOTO... 502 rows ✓
  → Inserted 8296 rows into foreign_etf_prices

  [31/50] MPG... 122 rows ✓
  [31/50] MPL... 126 rows ✓
  [31/50] MPLY... 234 rows ✓
  [31/50] MPRO... 502 rows ✓
  [31/50] MQQQ... 410 rows ✓
  [31/50] MRAL... 283 rows ✓
  [31/50] MRCP... 502 rows ✓
  [31/50] MRGR... 502 rows ✓
  [31/50] MRNX... 54 rows ✓
  [31/50] MRNY... 502 rows ✓
  [31/50] MRSK... 502 rows ✓
  [31/50] MRVU... 48 rows ✓
  [31/50] MSBT... 12 rows ✓
  [31/50] MSDD... 218 rows ✓
  [31/50] MSFD... 502 rows ✓
  [31/50] MSFL... 502 rows ✓
  [31/50] MSFO... 502 rows ✓
  [31/50] MSFU... 502 rows ✓
  [31/50] MSFW... 188 rows ✓
  [31/50] MSFX... 502 rows ✓
  → Inserted 6715 rows into foreign_etf_prices

  [32/50] MSFY... 502 rows ✓
  [32/50] MSII... 222 rows ✓
  [32/50] MSLC... 340 rows ✓
  [32/50] MSMR... 502 rows ✓
  [32/50] MSOO... 174 rows ✓
  [32/50] MSOS... 502 rows ✓
  [32/50] MSOX... 502 rows ✓
  [32/50] MSSM... 340 rows ✓
  [32/50] MSSS... 502 rows ✓
  [32/50] MSST... 106 rows ✓
  [32/50] MST... 244 rows ✓
  [32/50] MSTB... 502 rows ✓
  [32/50] MSTI... 502 rows ✓
